weblink,date,status,type_description
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,06/25/2003,PASSED,ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,05/30/2003,PASSED,SIGN ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,03/05/2003,FAILED,ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,02/10/2003,PASSED,BOILER ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,10/02/2002,PASSED,SIGN ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,10/02/2002,CLOSED,SIGN ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,07/11/2002,PASSED,ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,07/10/2002,PASSED,ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,02/16/2002,PASSED,BOILER ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,12/22/2001,CLOSED,ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,08/20/2001,CLOSED,FIRE PREVENTION PUMPS LEGACY
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,07/09/2001,PASSED,SIGN ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,05/09/1997,CLOSED,FIRE PREVENTION PUMPS LEGACY
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,01/28/1997,CLOSED,ELEVATOR LEGACY INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,01/21/1997,CLOSED,ELEVATOR LEGACY INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,03/21/1996,CLOSED,FIRE PREVENTION PUMPS LEGACY
